Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1961","1961","3050","FAO TIER 1","kg of nutrients","249800000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1961","1961","3050","FAO TIER 1","kg of nutrients","74940000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1961","1961","3050","FAO TIER 1","kg of nutrients","24980000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1962","1962","3050","FAO TIER 1","kg of nutrients","333000000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1962","1962","3050","FAO TIER 1","kg of nutrients","99900000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1962","1962","3050","FAO TIER 1","kg of nutrients","33300000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1963","1963","3050","FAO TIER 1","kg of nutrients","376800000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1963","1963","3050","FAO TIER 1","kg of nutrients","113040000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1963","1963","3050","FAO TIER 1","kg of nutrients","37680000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1964","1964","3050","FAO TIER 1","kg of nutrients","555200000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1964","1964","3050","FAO TIER 1","kg of nutrients","166560000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1964","1964","3050","FAO TIER 1","kg of nutrients","55520000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1965","1965","3050","FAO TIER 1","kg of nutrients","574800000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1965","1965","3050","FAO TIER 1","kg of nutrients","172440000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1965","1965","3050","FAO TIER 1","kg of nutrients","57480000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1966","1966","3050","FAO TIER 1","kg of nutrients","737800000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1966","1966","3050","FAO TIER 1","kg of nutrients","221340000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1966","1966","3050","FAO TIER 1","kg of nutrients","73780000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1967","1967","3050","FAO TIER 1","kg of nutrients","1034600000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1967","1967","3050","FAO TIER 1","kg of nutrients","310380000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1967","1967","3050","FAO TIER 1","kg of nutrients","103460000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1968","1968","3050","FAO TIER 1","kg of nutrients","1208600000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1968","1968","3050","FAO TIER 1","kg of nutrients","362580000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1968","1968","3050","FAO TIER 1","kg of nutrients","120860000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1969","1969","3050","FAO TIER 1","kg of nutrients","1356000000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1969","1969","3050","FAO TIER 1","kg of nutrients","406800000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1969","1969","3050","FAO TIER 1","kg of nutrients","135600000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1970","1970","3050","FAO TIER 1","kg of nutrients","1479000000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1970","1970","3050","FAO TIER 1","kg of nutrients","443700000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1970","1970","3050","FAO TIER 1","kg of nutrients","147900000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1971","1971","3050","FAO TIER 1","kg of nutrients","1798000000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1971","1971","3050","FAO TIER 1","kg of nutrients","539400000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1971","1971","3050","FAO TIER 1","kg of nutrients","179800000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1972","1972","3050","FAO TIER 1","kg of nutrients","1839000000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1972","1972","3050","FAO TIER 1","kg of nutrients","551700000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1972","1972","3050","FAO TIER 1","kg of nutrients","183900000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1973","1973","3050","FAO TIER 1","kg of nutrients","1829000000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1973","1973","3050","FAO TIER 1","kg of nutrients","548700000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1973","1973","3050","FAO TIER 1","kg of nutrients","182900000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1974","1974","3050","FAO TIER 1","kg of nutrients","1765700000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1974","1974","3050","FAO TIER 1","kg of nutrients","529710000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1974","1974","3050","FAO TIER 1","kg of nutrients","176570000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1975","1975","3050","FAO TIER 1","kg of nutrients","2748600000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1975","1975","3050","FAO TIER 1","kg of nutrients","824580000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1975","1975","3050","FAO TIER 1","kg of nutrients","274860000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1976","1976","3050","FAO TIER 1","kg of nutrients","2456900000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1976","1976","3050","FAO TIER 1","kg of nutrients","737070000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1976","1976","3050","FAO TIER 1","kg of nutrients","245690000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1977","1977","3050","FAO TIER 1","kg of nutrients","2913000000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1977","1977","3050","FAO TIER 1","kg of nutrients","873900000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1977","1977","3050","FAO TIER 1","kg of nutrients","291300000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1978","1978","3050","FAO TIER 1","kg of nutrients","3419500000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1978","1978","3050","FAO TIER 1","kg of nutrients","1025850000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1978","1978","3050","FAO TIER 1","kg of nutrients","341950000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1979","1979","3050","FAO TIER 1","kg of nutrients","3498100000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1979","1979","3050","FAO TIER 1","kg of nutrients","1049430000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1979","1979","3050","FAO TIER 1","kg of nutrients","349810000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1980","1980","3050","FAO TIER 1","kg of nutrients","3678100000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1980","1980","3050","FAO TIER 1","kg of nutrients","1103430000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1980","1980","3050","FAO TIER 1","kg of nutrients","367810000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1981","1981","3050","FAO TIER 1","kg of nutrients","4068700000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1981","1981","3050","FAO TIER 1","kg of nutrients","1220610000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1981","1981","3050","FAO TIER 1","kg of nutrients","406870000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1982","1982","3050","FAO TIER 1","kg of nutrients","4042900000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1982","1982","3050","FAO TIER 1","kg of nutrients","1212870000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1982","1982","3050","FAO TIER 1","kg of nutrients","404290000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1983","1983","3050","FAO TIER 1","kg of nutrients","4637300000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1983","1983","3050","FAO TIER 1","kg of nutrients","1391190000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1983","1983","3050","FAO TIER 1","kg of nutrients","463730000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1984","1984","3050","FAO TIER 1","kg of nutrients","5333300000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1984","1984","3050","FAO TIER 1","kg of nutrients","1599990000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1984","1984","3050","FAO TIER 1","kg of nutrients","533330000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1985","1985","3050","FAO TIER 1","kg of nutrients","5750000000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1985","1985","3050","FAO TIER 1","kg of nutrients","1725000000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1985","1985","3050","FAO TIER 1","kg of nutrients","575000000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1986","1986","3050","FAO TIER 1","kg of nutrients","6528700000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1986","1986","3050","FAO TIER 1","kg of nutrients","1958610000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1986","1986","3050","FAO TIER 1","kg of nutrients","652870000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1987","1987","3050","FAO TIER 1","kg of nutrients","5702900000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1987","1987","3050","FAO TIER 1","kg of nutrients","1710870000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1987","1987","3050","FAO TIER 1","kg of nutrients","570290000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1988","1988","3050","FAO TIER 1","kg of nutrients","7157500000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1988","1988","3050","FAO TIER 1","kg of nutrients","2147250000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1988","1988","3050","FAO TIER 1","kg of nutrients","715750000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1989","1989","3050","FAO TIER 1","kg of nutrients","7150900000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1989","1989","3050","FAO TIER 1","kg of nutrients","2145270000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","516201","Nitrogen fertilizer content applied that volatilises","3102","Nutrient nitrogen N (total)","1989","1989","3050","FAO TIER 1","kg of nutrients","715090000","Fc","Calculated data",""
"GY","Synthetic Fertilizers","100","India","5162","Agricultural Use in nutrients","3102","Nutrient nitrogen N (total)","1990","1990","3050","FAO TIER 1","kg of nutrients","7565500000","X","International reliable sources",""
"GY","Synthetic Fertilizers","100","India","516202","Nitrogen fertilizer content applied that leaches","3102","Nutrient nitrogen N (total)","1990","1990","3050","FAO TIER 1","kg of nutrients","2269650000","Fc","Calculated data",""
